tweet_text,cyberbullying_type
i just find it funny that the girls who bullied me for being ugly in high school have rlly bad make up skills now nd just.... yeah i think karma does exists,age
I used to wear high top supremes to school grades 8-10 Got bullied into dressing like a “normal girl” I forgot i wasn’t normal,age
The preferred shoe of my high school bullies,age
This girl who got relentlessly bullied in High School is becoming more and more famous as a “real life mermaid” and honestly it fills me with joy,age
The only acceptable time to promote St. Ives Apricot Scrub is when the girl who bullied you in high school asks for your skincare routine.,age
When you acccidneltt get high and call a girl gorgeous on bumble and then realize that she’s actually this horrible person who bullied me in high school help me,age
i'm like 2 mins into tall girl and i've never seen anyone get made fun of this much for being tall lmao i was def bullied more for being short but once you get into high school i feel like no one gives a fuck about ur height unless you're like excessively short,age
Mom is asking me to attend my high school reunion.. She doesn't know I was bullied in high school. Those Ilongga girls were mean to me. It was awful.,age
the one girl in ur high school friend group that always passive-aggressively bullied u is now dating some dude who sells weed to high school kids and her twitter is filled with nothing but automatic daily horoscope updates,age
Wait nah more like girls who bullied other girls in high school,age
Me too. Bullied throughout High School. Grateful for it now. Taught me to be a good Mom to teach my girl's self love &amp; love of others!,age
"I was bullied in grade school for having a speech lisp, lupus causing my hair to fall out, being the weird odd girl in class who liked being left alone to do arts/crafts or read comics or horror books/novels and later for being punk/goth alternative when I entered junior high.",age
can we talk about how alex bullied george and april like a high school mean girl? they should have killed him off tbh,age
"Who’da thought the tall, chubby, bullied girl in high school woulda grown up to be naked on the internet?!!",age
I really can’t believe there were/are people adamant that Khune is being bullied and people were not being genuine in their outrage about a man in his 30’s dating a high school girl. I’ve seen it all.,age
You sound like a bit of a school bully... and maybe you should get some help.,age
This is your tell that trying to bully school districts into reopening hasn't gone the way he thought it would.,age
U Brooklyn niggers are working my nerves. Dumb ass outfits. Get it the fuck together plz,ethnicity
"lol, stay classy RT @PoeJace: I hope pk subban fucking dies tonight, someone better fuck him up, dumb nigger shouldn't be playing hockey",ethnicity
@TheRealJacquet it's not a fucking excuse it's fact look at his line he has a bunch of big dumb niggers who don't know what the fuck to do,ethnicity
no... bitch fuck dyke bitch fuck shit nigger pussy ass blue haired bitch fuck dumb ass nigger again fuck pussy ass,ethnicity
I swear to god this dumb ass ratchet nigger bitch needs to shut the fuck up.,ethnicity
"Me and cerebral were driving and some dude on a bike yells ""fuck u nigger"" cerebral almost ran this dumb ass over",ethnicity
@T0KAH0NTAS_: you're dumb as fuck. RT @JakeChiodosTarr: Fake nails remind me of niggers. Aka ignorant black people. Ewwwww thank you&lt;3,ethnicity
